Task Type,Task ID,Task Name,Status,Task Content,Assignee,Priority,Latest Comment,Comment Count,Assigned Comment Count,Due Date,Start Date,Date Created,Date Updated,Date Closed,Date Done,Created By,Space,Folder,List,Subtask ID's,Subtask URL's,tags,Lists,Sprints,Linked Tasks,Linked Docs,Time Logged,Time Logged Rolled Up,Time Estimate,Time In Status,Points Estimate,Points Estimate Rolled Up,Ad-Hoc Capacity (number),Additional Comments (text),Assets Check Days (short text),Category (drop down),Context (labels),Coordinator (drop down),External Comms (Form Entry) (drop down),FADMIN Merchant Page (url),FQC (drop down),FQC (Form Entry) (drop down),FQC Capacity (number),FTP Path (url),Flyer Cadence (drop down),Flyer Review (drop down),Flyer Review Guide (url),Flyer Run (url),Flyer Type ID (short text),Focus (drop down),Lead (drop down),Lead (Form Entry) (short text),Merchant (drop down),Merchant ID (short text),Merchant Name (short text),OneGuide (url),Package (drop down),Page Swap Guide Audit (drop down),Page Swaps & Revisions (drop down),Page Swaps & Revisions (Form Entry) (drop down),Parent Banner (drop down),Preview Days (short text),Processor (Form Entry) (short text),Requester Name (short text),Retailer (drop down),Retailer Info (labels),Segment (drop down),Tier (drop down),Total Capacity Owned (formula),Upload (drop down),Upload (Form Entry) (drop down),Upload Capacity (number),⚡ Create New Run Task on PS Board (button),👀 Off-App Check (drop down),🗓 Scheduled Until (date)
Task,86dzp2p20,Star Market - GMI,active retailers,"
",[],none,,0,0,,,"Friday, February 6th 2026, 4:57:20 pm -05:00","Thursday, April 9th 2026, 10:40:44 am -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,1149 hours,,0,,,9,Grocery,,Annastiina Peltola,,https://fadmin.flippback.com/merchants/3083/dashboard,PS Eligible,,,https://fadmin.flippback.com/merchants/3083/ftp_files,Ad-Hoc,,,,11479,,Julia Burch,,,3083,,https://docs.google.com/document/d/183GtNwUcM9JLHJpxIRREZrJXAirNAP8ctKJ5I8aFeS8/edit#heading=h.y2dgj7b691i2,,,OPS,,ABSCo,6,,,,,Core PLUS,,,PS Eligible,,,,,
Task,86dtu2q4q,Starsky,active retailers,"When retailer confirms that files were uploaded, the send files for 2 weeks. You can upload the 2 weeks at the same time, make sure you are uploding in the correct flyer run. Files are named with the dates they should go live.
",[],none,,0,0,,,"Thursday, June 13th 2024, 6:24:34 pm -04:00","Thursday, April 16th 2026, 1:57:23 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,20m,16460 hours,,0,0,,6,Grocery,,,,https://fadmin.flippback.com/merchants/2615/dashboard,PS Eligible,,15,https://fadmin.flippback.com/merchants/2615/ftp_files,Weekly,,,,2523,,Roni Grigorian,,,2615,,https://docs.google.com/document/d/1i8-Y5ZltoCiqe8qUj8zdZfwzAN20XrcXINySRfqffAQ/edit?tab=t.0#heading=h.35qcqd1orzvx,,,PS Eligible,,,,,,Starsky,,Longtail,4,15,PS Eligible,,0,,,"Wednesday, September 23rd 2026"
Task,86dtu2q4v,Stater Bros. Markets,active retailers,"Currently going through CUSAT issues, DOC will be taking some things back occassionally
",[],none,,0,0,,,"Thursday, June 13th 2024, 6:24:36 pm -04:00","Thursday, April 9th 2026, 10:40:44 am -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,40m,1149 hours,,0,5,,4,Grocery,,Ebony Powell,,https://flyers.merchants.wishabi.ca/merchants/2525/dashboard,PS Eligible,,10,https://flyers.merchants.wishabi.ca/merchants/2525/ftp_files,Weekly,,,,1474,,Rachel Kyryliuk,,,2525,,https://docs.google.com/document/d/1gh7aZLBiPyuZ3qIZQD06_vyn4X7DHpePwAF2gXqRElA/edit,,,,,,3,,,,,Core,3,15,PS Eligible,,0,,,
Task,86e0k1gxe,Stokes Canada,active retailers,"
",[],none,,0,0,,,"Thursday, March 26th 2026, 12:15:59 pm -04:00","Thursday, April 16th 2026, 1:57:36 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,65h,725 hours,,0,,,7,Home Improvement,,Rushia Fernandes,,https://fadmin.flippback.com/merchants/2608/dashboard,PS Eligible,,,https://fadmin.flippback.com/merchants/2608/ftp_files,Monthly,,,,2494,,Hannah Schiff-Kearn,,,2608,,https://docs.google.com/document/d/1TYqSWUoQjrsc0DK7tFlDeUFEYlJn9H8YFykYdFUEL4c/edit?usp=sharing,,,PS Eligible,,,,,,Stokes Canada,,Longtail,,,PS Eligible,,,,,
Task,86e0k1gjf,Stop & Shop,active retailers,"
",[],none,,0,0,,,"Thursday, March 26th 2026, 12:15:41 pm -04:00","Thursday, April 16th 2026, 1:57:54 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,120h,725 hours,,0,,,8,Grocery,,Adnela Fejzulovic,,https://fadmin.flippback.com/merchants/2393/dashboard,OPS,,,https://fadmin.flippback.com/merchants/2393/ftp_files,Weekly,,,,5115,,Jenna Toppan,,,2393,,https://docs.google.com/document/d/1_QakDsRnIaJxYVckQgnHHolXDvpAr4ICQYfk0s4bU3w/edit?tab=t.0#heading=h.y2dgj7b691i1,,,OPS,,,,,,Stop & Shop,,Core,,,PS Eligible,,,,,
Task,86e0k1gxk,Strack and Van Til,active retailers,"Please complete Upload before 3pm EST on Monday before go-live.
Please FQC vefore 12pm EST on Tuesday (the go-live date)
",[],none,,0,0,,,"Thursday, March 26th 2026, 12:15:59 pm -04:00","Thursday, April 16th 2026, 1:58:05 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,60h,725 hours,,0,,,3,Grocery,,Clifford Fernandes,,https://fadmin.flippback.com/merchants/2423/dashboard,PS Eligible,,,https://fadmin.flippback.com/merchants/2423/ftp_files,Weekly,,,,6018,,Sabrina Ho,,,2423,,https://docs.google.com/document/d/1V-O0xk9rAH0Ei_J8MWghuXQasJr9i7OuZzM3GHIL2FU/edit?tab=t.0#heading=h.y2dgj7b691i1,,,PS Eligible,,,,,,Strack and Van Til,,Longtail,,,PS Eligible,,,,,
Task,86dtu2q4z,Super 1 Foods & Discount Pharmacy (Monthly),active retailers,,[],none,,0,0,,,"Thursday, June 13th 2024, 6:24:38 pm -04:00","Thursday, April 16th 2026, 2:42:01 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,16460 hours,,0,10,,6,Grocery,,Marion Kang,,https://fadmin.flippback.com/merchants/2947/dashboard,PS Eligible,,20,https://fadmin.flippback.com/merchants/2947/ftp_files,Monthly,,,,7857,,Hammna Qureshi,,,2947,,https://docs.google.com/document/d/1DCZRfxseova3j51zVZTu3nyjHr9YlAybdBkiR2v-dqY/edit?usp=sharing,,Generic Instructions,PS Eligible,,,,,,Super 1 Foods & Discount Pharmacy,,Longtail,4,50,PS Eligible,,20,,,"Monday, February 23rd 2026"
Task,86dtu2q57,Super King Markets,active retailers,,[],none,,0,0,,,"Thursday, June 13th 2024, 6:24:41 pm -04:00","Thursday, April 16th 2026, 3:00:38 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,16460 hours,,0,5,,7,Grocery,,Ebony Powell,,https://fadmin.flippback.com/merchants/2633/dashboard,PS Eligible,,20,https://fadmin.flippback.com/merchants/2633/ftp_files,Weekly,,,,6807,,SE,,,2633,,https://docs.google.com/document/d/168CmPhqguU7Xu8oqwks8aZ5siCvMXlOZBfK2Iv1rlhg/edit#heading=h.y2dgj7b691i1,,,OPS,,,,,,Super King Markets,,Longtail,3,45,PS Eligible,,20,,,"Tuesday, October 27th 2026"
Task,86dzp0zbu,Super Value Liquor,active retailers,"
",[],none,,0,0,,,"Friday, February 6th 2026, 3:48:06 pm -05:00","Thursday, April 16th 2026, 3:01:11 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,15h,1990 hours,,0,,,3,"Alcohol, Wine and Spirits",,Kayla Summerhayes,,https://fadmin.flippback.com/merchants/6639/dashboard,PS Eligible,,,https://fadmin.flippback.com/merchants/6639/ftp_files,Monthly,,,,11717,,Kayla Summerhayes,,,6639,,https://docs.google.com/document/d/1YIXOZMz7FzuAUjyB0ahGowGb6P_loDvYqtSAdkk7E0E/edit?tab=t.0#heading=h.y2dgj7b691i1,,,PS Eligible,,,,,,Super Value Liquor,,Longtail,Longtail,,PS Eligible,,,,,
Task,86dtu2q5c,Superior Grocers,active retailers,,[],none,,0,0,,,"Thursday, June 13th 2024, 6:24:42 pm -04:00","Thursday, April 16th 2026, 2:21:18 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,16460 hours,,0,0,,5,Grocery,,Rushia Fernandes,,https://fadmin.flippback.com/merchants/2555/dashboard,PS Eligible,,20,https://fadmin.flippback.com/merchants/2555/ftp_files,Weekly,,,,3538,,SE,,,2555,,https://docs.google.com/document/d/19g80rubvdkX1IAyi8TPe649_G-VQXmT8zMwIYQ3QVCc/edit#heading=h.y2dgj7b691i1,,,OPS,,,,,,Superior Grocers,,Longtail,3,35,PS Eligible,,15,,,"Tuesday, September 29th 2026"
